ç·¨è?,ç­”æ?,é¡žè?é¡Œç›®
0311,"ÃD¥Ø?11
???°Ñ¦Òµª®×¡GD

???¸Ô²Ó¸ÑÄÀ¡G
¦³µ·¤Àµõ¹Lµ{¤¤¡A¨C±ø¬V¦âÅé¥Ñ¨â±ø©j©f¬V¦â³æÅéºc¦¨¡C
During mitosis, each chromosome consists of two sister chromatids joined at the centromere.

¹Ï¤¤®i¥Üªº¬O«á´Á (anaphase)¡A¨C±ø©j©f¬V¦â³æÅé¤À¶}¡A³Q©Ô¦V¨â·¥¡C
The diagram shows anaphase, where sister chromatids separate and move to opposite poles.

¦]¦¹¨C­Ó¤ÀÂ÷«áªº¤l²Ó­M±NÀò±o»P¥À²Ó­M¬Û¦P¼Æ¥Øªº¬V¦âÅé¡C
Therefore, each resulting daughter cell will have the same number of chromosomes as the parent cell.

¿ï D ¥¿½T¡A¦]¬°¨C­Ó¤l²Ó­M³£§t¦³¥|±ø¬V¦âÅé¡A»P¥À²Ó­M¬Û¦P¡C
D is correct because each daughter cell receives the same four chromosomes as the parent.

¿ï A ¿ù¦b§â¤l¬V¦âÅé¼Æ¶q·í§@¥À²Ó­Mªº­ì¼Æ¡C
A is incorrect¡Xit misinterprets the number of chromatids as total chromosomes.

B ¿ù¦b´£¨ì¦P·½¬V¦âÅé¡A¦ý¦¹®É¬°¦³µ·¤Àµõ¡A¤£¯A¤Î¦P·½°t¹ï¡C
B is wrong because homologous chromosomes are not involved in mitosis.

C ¿ù¦b»~¥H¬°²Ó­M´î¤Ö¬V¦âÅé¼Æ¡C
C is incorrect since mitosis maintains, not reduces, chromosome number.

???¦Ò¸Õ´£¿ô¡G
¬Ý¨ì´Óª«®Ú¦y¤Àµõ¹Ï¡A­n¥ý¤À²M¬O¦³µ·©Î´îµ·¤Àµõ ¡÷ ®Ú¦y¥Ã»·¬O¦³µ·¤Àµõ¡C
When seeing a root-tip diagram, always identify it as mitosis, never meiosis.",
0312,"ÃD¥Ø?12
???°Ñ¦Òµª®×¡GC

???¸Ô²Ó¸ÑÄÀ¡G
­Y¼Ë¥»§t¦³¯×ªÕ¡A»P¤ô²V¦X·|§Î¦¨¥Õ¦â¨Å¿B²G¡A¦]·L¤pªoºw¤£»P¤ô¤¬·»¡C
If lipid is present, mixing with water forms a milky emulsion, as tiny oil droplets are immiscible with water.

¦]¦¹¥i¨Ï¥Î¨Å¿B¸ÕÅç (Emulsion Test) ¨ÓÀË´ú¯×ªÕ¡C
Hence, the emulsion test is used to detect fat.

A?¬O¥»¥ß¸ÕÅç¡]ÀË´úÁÙ­ì¿}¡^¡X¿ù¡C
A?(Benedict¡¦s test) detects reducing sugars¡Xnot fat.

B?¬OÂùÁY?¸ÕÅç¡]ÀË´ú³J¥Õ½è¡^¡X¿ù¡C
B?(Biuret test) detects protein, not lipid.

D?¬O¸K²G¸ÕÅç¡]ÀË´ú¾ý¯»¡^¡X¿ù¡C
D?(Iodine test) detects starch, not lipid.

???¦Ò¸Õ´£¿ô¡G
¬Ý¨ì¡u¯×ªÕ+°sºë+¥Õ¦â¨Å²G¡v¡÷?¥ß¨è¿ï ¨Å¿B¸ÕÅç¡C
When the question mentions ¡§fat + alcohol + milky white,¡¨ the answer is emulsion test.",
0313,"ÃD¥Ø?13
???°Ñ¦Òµª®×¡GB

???¸Ô²Ó¸ÑÄÀ¡G
¯×ªÕ³Q§l¦¬«á¡A¥ý¶i¤J¨ÅÁSºÞ (lacteal)¡A¤§«á¸g²O¤Ú¨t²Î¿é°e¡C
Absorbed fats enter the lacteal, then travel through the lymphatic system.

¸ô®|¬°¡G¨ÅÁSºÞ?¡÷?²O¤ÚºÞ?¡÷?¯Ý¾ÉºÞ?¡÷?¥ªÂê°©¤UÀR¯ß?¡÷?¤WµÄÀR¯ß?¡÷?¤ßÅ¦¡C
The pathway is: lacteal ¡÷ lymph duct ¡÷ thoracic duct ¡÷ left subclavian vein ¡÷ vena cava ¡÷ heart.

¦]¦¹¯×ªÕ­º¥ý©è¹Fªº¾¹©x¬O¨xÅ¦¤§«eªº¤ßÅ¦¡C
Therefore, fat reaches the heart before the liver.

???¦Ò¸Õ´£¿ô¡G
¯×ªÕ¸g²O¤Ú¨t²Î¹B¿é¡A¤£ª½±µ¤J¨xªùÀR¯ß ¡÷ ©Ò¥H¯×ªÕ¥ý¨ì¤ßÅ¦¦A¨ì¨xÅ¦¡C
Fat travels through the lymph, not the hepatic portal vein ¡÷ it reaches the heart before the liver.",
0314,"ÃD¥Ø?14
???°Ñ¦Òµª®×¡GB

???¸Ô²Ó¸ÑÄÀ¡G
¿}ªG§t¿}¶q·¥°ª¡A©öªþµÛ¦b¤ú¾¦ªí­±¨Ñ²Óµß¤À¸Ñ¬°»Ä©Êª«½è¡A»G»kµW·ã½è³y¦¨³E¤ú¡C
Candies are rich in sugar; bacteria on teeth convert sugar into acid, which dissolves enamel and causes cavities.

³E¤ú¬O¦]²Óµß¥NÁÂ²£¥Í»Ä¡A¦Ó«D¿}¥»¨­ªº¼ö¶q³y¦¨¡C
Tooth decay results from acidic products of bacteria, not directly from sugar content.

A?¤õ»LÂA¤Ö¿}¤À¡A«D­PÆTª«¡FC?­JÅÚ½³§tÅÖºû¹ï¤ú¦³¯q¡FD?¥þ³ÁÄÑ¥]¿}¤À¸û¤Ö¡C
Option?A?(ham),?C?(carrot),?D?(wholemeal bread) contain little sugar and don¡¦t promote decay.

???¦Ò¸Õ´£¿ô¡G
ÃD¦³¡u¿}ªG¡B¤ú¾¦¡B»Ä¡v¤T­ÓÃöÁä¦r ¡÷?¥¿¸Ñ¤@©w¬O¡u¿}³Q²Óµß¤À¸Ñ¡÷²£»Ä¡÷³E¤ú¡v¡C
When ¡§candy + teeth + acid¡¨ appear, the correct chain is sugar ¡÷ bacteria ¡÷ acid ¡÷ decay.",
0315,"ÃD¥Ø?15
???°Ñ¦Òµª®×¡GB

???¸Ô²Ó¸ÑÄÀ¡G
¶t¬O§Î¦¨°©Àf¥D­nªºµL¾÷¦¨¤À¡A¨Ï°©Àf°íµw¡C
Calcium is the main mineral component of bone, giving it strength and rigidity.

¯Ê¶t·|¾É­P°©½è³n¤Æ©Î§FÜ¼¯f (rickets)¡C
A calcium deficiency causes osteomalacia or rickets.

A?«üÅK¯Ê¥F³h¦å¡FC?´£ºû¥Í¯À?C?¯Ê¥FÃa¦å¯f¡FD?ºû¥Í¯À?D?»P¶t¥NÁÂ¬ÛÃö¦ý«D°©¦¨¤À¡C
A?refers to iron deficiency anemia;?C?to vitamin?C deficiency (scurvy);?D?to vitamin?D¡¦s role in calcium absorption, not bone mineralization.

???¦Ò¸Õ´£¿ô¡G
°©Àf°ÝÃD¤@«ß·Q¨ì¶t¡F­Y´£§l¦¬¤£¨}©Î¥NÁÂ°ÝÃD¡A¦AÁp·Qºû¥Í¯À?D¡C
For bone-related questions, think calcium first; for absorption issues, think vitamin?D.",
0316,"ÃD¥Ø?16
???°Ñ¦Òµª®×¡GC

???¸Ô²Ó¸ÑÄÀ¡G
¯f¤H¥X²{©]ª¼»P«K¯µ¡A»¡©ú¯Ê¥Fºû¥Í¯À?A?»PÅÖºû¯À¡C
Night blindness and constipation imply deficiencies in vitamin?A (vision pigment) and dietary fibre.

­JÅÚ½³´I§t£]-­JÅÚ½³¯À¡]ºû¥Í¯À?A?¨Ó·½¡^»PÅÖºû¡C
Carrots are rich in beta-carotene (vitamin?A precursor) and roughage.

A?¤õ»L³J¥Õ°ª¦ýºû¥Í¯À¤Ö¡FB?¨xÅ¦§t?A¡BD?¦ýÅÖºû¤Ö¡FD?¥þ³ÁÄÑ¥]Áö§tÅÖºû¦h¦ýºû¥Í¯À?A?¤Ö¡C
A?high protein, little vitamins;?B?rich in?A?and?D?but low in fibre;?D?high in fibre, lacking?A.

???¦Ò¸Õ´£¿ô¡G
©]ª¼ ¡÷?ºû¥Í¯À?A¡F«K¯µ ¡÷?ÅÖºû¯À¡A¨âªÌ¨Ã¦s ¡÷?­JÅÚ½³¡C
Night blindness ¡÷ vitamin?A; constipation ¡÷ fibre ¡X combined = carrot.",
0317,"ÃD¥Ø?17
???°Ñ¦Òµª®×¡GB

???¸Ô²Ó¸ÑÄÀ¡G
¦Ø¶¡¦Ù¦¬ÁY¨Ï¦Ø°©¦V¤W¥~ÂX¡F¾î»J¦¬ÁY¦V¤U¥­®i¡A¯ÝµÄÅé¿n¼W¤j¡AªÍ¤ºÀ£¤U­°¡AªÅ®ð¶i¤J¡C
The intercostal muscles pull ribs upward and outward, while the diaphragm contracts downward, enlarging thoracic volume and lowering lung pressure¡Xair rushes in.

¥¿½T¶¶§Ç¬°¡G¦Ø¶¡¦Ù¦¬ÁY?¡÷?ªÍ®e¶q¼W?¡÷?ªÍÀ£¤U­°?¡C
Sequence: (2)?¡÷?(3)?¡÷?(1).

A¡BC¡BD?¶¶§Ç¿ù¸m¡A©Ò¥H¿ù¡C
A,?C,?and?D?show incorrect sequencing of events.

???¦Ò¸Õ´£¿ô¡G
§l®ð¤T¨B¦±¡G¦Ø°©¤W¤É¡B»J¤U­°¡BÀ£¤O­°¡BªÅ®ð¤J¡C
Inhalation chain: ribs up ¡÷ diaphragm down ¡÷ pressure drop ¡÷ air in.
",
0318,"ÃD¥Ø?18
???°Ñ¦Òµª®×¡GC

???¸Ô²Ó¸ÑÄÀ¡G
¦P¤@´Ê´Óª«ªºªá¯»¦b´î¼Æ¤Àµõ®É¦]Áp·|»P¤¬´« (crossing-over)¡A°ò¦]²Õ¦X¦³®t²§¡C
Pollens of the same flower vary genetically due to independent assortment and crossing-over in meiosis.

A?¿ù¦b¦Pªáªá¯»¤£¬O§¹¥þ¬Û¦P¡A¬G¦³®t²§¡F
A?is incorrect because pollens from the same flower are not genetically identical.

B?ªG¹ê¤ººØ¤l¦U¦Û¥Ñ¤£¦P¨üºë¨Æ¥ó²£¥Í¡A¤]¥i¦³®t²§¡A¦ýÃD°Ý¡§§¹¥þ¬Û¦P¡¨¡A¤£²Å¡C
B?seeds in one fruit also vary due to random fertilization, not identical either.

C?¥¿½T«ü¥X¡G´Óª«Åé¤ºÅé²Ó­M¸g¥Ñ¦³µ·¤Àµõ§Î¦¨¡A»P¥À²Ó­M°ò¦]§¹¥þ¬Û¦P¡C
C?is correct: somatic cells formed by mitosis are genetically identical to the parent cell.

D?¥É¦ÌÁJ¤W¤@²É§Y¤@­Ó­F¡A¬Ò¥Ñ¤£¦P¨üºë§Î¦¨¡A¦]¦¹°ò¦]¤£¦P¡C
D?Each maize grain arises from a separate fertilization; hence, not identical.

???¦Ò¸Õ´£¿ô¡G
´î¼Æ¤Àµõ ¡÷?°ò¦]¦h¼Ë¡F¦³µ·¤Àµõ ¡÷?°ò¦]¬Û¦P¡C
Meiosis ¡÷ variation; mitosis ¡÷ identical offspring.",
0319,"ÃD¥Ø?19
???°Ñ¦Òµª®×¡GB

???¸Ô²Ó¸ÑÄÀ¡G
­n´ú©w±a¸­ªK±øªº§l¤ô³t²v¡A»Ý¶q«×´Óª«¦b¤@©w®É¶¡¤º§l¦¬ªº¤ô¶q¡C
To measure the rate of water absorption of a leafy shoot, we determine the volume of water absorbed over a fixed time.

¦]¦¹»Ý­nªº¼Æ¾Ú¬O¡G¡]1¡^¹êÅç®É¶¡¡F¡]4¡^ºw©wºÞ¤º¤ô­±§ïÅÜ¡C
Therefore, the required data are: (1) the duration of the experiment, and (4) the water-level change in the burette.

¸­­±¿n¤£¥²¶q«×¡A¦]¥¦¤£ª½±µ¤Ï¬M§l¤ôÁ`¶q¡F
The total leaf area does not need to be measured because it doesn¡¦t directly indicate water volume absorbed.

¯¯­«ªº§ïÅÜ¤Ï¬M¥ú¦X§@¥Î©Î»]ÄË¼vÅT¡AÃø³æ¿W°Ï¤À§l¤ô¶q¡A©Ò¥H¤£À³¥Î¡C
Changes in weight reflect both photosynthesis and transpiration, so they don¡¦t give a direct measure of water absorption.

???¦Ò¸Õ´£¿ô¡G
¦Ò¡u§l¤ô³t²v¡vÃD®É¡A¤@©w­n¼g©úÅé¿n ¡Ò ®É¶¡ªº·§©À¡A­n¿ë§O¡u§l¤ô¡v¡Ú¡u»]ÄË¡v¡C
When calculating ¡§rate of water absorption,¡¨ always express it as volume ¡Ò time, and distinguish absorption from transpiration.",
0320," ÃD¥Ø?20
???°Ñ¦Òµª®×¡GA

???¸Ô²Ó¸ÑÄÀ¡G
°ª·Å»P±j¥ú¯à«P¨Ï»]ÄË³t²v¤W¤É¡A¶i¦Ó¥[§Ö¤ô¤À³Q§l¦¬ªº³t«×¡C
High temperature and strong light increase transpiration rate, which accelerates water absorption.

¸­¤ù¤º¤ô¤À»]µoÅÜ§Ö¡A®ð¤Õ±i¶}¥H«P¶i®ðÅé¥æ´«¡A¦]¦¹¾É­P¤ì½è³¡¤¤¤ô¬y¼W¥[¡C
Water evaporates faster from mesophyll surfaces, stomata open wider, and xylem water uptake increases accordingly.

B?¿ï¶µ»¡§C·Å·|´îºC»]µo³t²v¡A¬G§l¤ôÅÜºC¡A¤£¬O§l¦¬³t²v¡u³Ì¤j¡vªº±¡ªp¡C
Option?B?suggests low temperature¡Xthis reduces evaporation, not increases it, so it¡¦s incorrect.

C?¦b¶Â·t¤¤µL¥ú¦X§@¥Î¡A®ð¤Õ¦¬³¬¡A§l¤ô³t²vÀ³­°§C¡C
C?In darkness, no photosynthesis occurs; stomata close, lowering absorption.

D?·Å·x¦ýµL­·ªº±¡ªp¤U»]µo°¾ºC¡A¤]¤£¤ÎA©Ò­zÀô¹Ò¼@¯P¡C
D?A warm but still-air condition slows diffusion, giving a lower rate than?A.

???¦Ò¸Õ´£¿ô¡G
¯A¤Î¤ô¤À§l¦¬/»]ÄËÃD?¡÷?Áp·Q¡u¼ö + ¥ú + §CÀã«× = ³Ì§Ö¡v¡C
Whenever asked about water uptake or transpiration, think high heat + bright light + low humidity = maximum rate.",
